"Year","Gender","Total_Smokers","Population","Smoking Rate per 10,000 Capita"
1980,"Total_Female_Smokers",24826645,2218314439,111.916708305752
1981,"Total_Female_Smokers",25169144,2257323330,111.499950696031
1982,"Total_Female_Smokers",25535915,2297056915,111.167968165038
1983,"Total_Female_Smokers",25872003,2337676597,110.674004407634
1984,"Total_Female_Smokers",26128936,2379366139,109.814692122085
1985,"Total_Female_Smokers",26242496,2422197063,108.341705143914
1986,"Total_Female_Smokers",26324990,2466288679,106.73928897356
1987,"Total_Female_Smokers",26412315,2511446765,105.167727893289
1988,"Total_Female_Smokers",26497121,2557038065,103.62427279705
1989,"Total_Female_Smokers",26574427,2602207942,102.122611229814
1990,"Total_Female_Smokers",26640318,2646335779,100.668699004126
1991,"Total_Female_Smokers",26698415,2689176204,99.2810175855624
1992,"Total_Female_Smokers",26730444,2730869164,97.8825509196017
1993,"Total_Female_Smokers",26743593,2771656778,96.4895553167947
1994,"Total_Female_Smokers",26668996,2811953432,94.8415279446207
1995,"Total_Female_Smokers",26653603,2852071381,93.4534920043083
1996,"Total_Female_Smokers",26740032,2892075969,92.459645896667
1997,"Total_Female_Smokers",26727675,2931884657,91.1620958081913
1998,"Total_Female_Smokers",26785034,2971498366,90.1398240916953
1999,"Total_Female_Smokers",26837579,3010889613,89.1350479410618
2000,"Total_Female_Smokers",26828017,3050059948,87.9589826343964
2001,"Total_Female_Smokers",26773155,3089024770,86.6718689342203
2002,"Total_Female_Smokers",26751174,3127872723,85.5251359919225
2003,"Total_Female_Smokers",26753598,3166763110,84.4824733353674
2004,"Total_Female_Smokers",26756053,3205896765,83.4588727001632
2005,"Total_Female_Smokers",26707686,3245421689,82.2934230412115
2006,"Total_Female_Smokers",26571376,3285384988,80.8775108459222
2007,"Total_Female_Smokers",26414352,3325763623,79.4234196842077
2008,"Total_Female_Smokers",26310933,3366542290,78.1541734323498
2009,"Total_Female_Smokers",26299674,3407677565,77.17770680572
2010,"Total_Female_Smokers",26297664,3449119953,76.244561970443
2011,"Total_Female_Smokers",26423397,3490861575,75.6930529392303
2012,"Total_Female_Smokers",26672197,3532864951,75.4973580081239
1980,"Total_Male_Smokers",95286282,2239689027,425.444250747762
1981,"Total_Male_Smokers",97433685,2279673266,427.401972261406
1982,"Total_Male_Smokers",99707756,2320329587,429.71376376282
1983,"Total_Male_Smokers",101994163,2361892578,431.832353215515
1984,"Total_Male_Smokers",104200359,2404645371,433.329422527976
1985,"Total_Male_Smokers",106177269,2448724603,433.602328615963
1986,"Total_Male_Smokers",108116629,2494279319,433.458386863208
1987,"Total_Male_Smokers",110041951,2541075232,433.052707823174
1988,"Total_Male_Smokers",111944388,2588387929,432.486903318424
1989,"Total_Male_Smokers",113800719,2635233492,431.843020155422
1990,"Total_Male_Smokers",115629558,2680895262,431.309494402769
1991,"Total_Male_Smokers",117460896,2725113179,431.031257362687
1992,"Total_Male_Smokers",119275817,2768050729,430.901846380143
1993,"Total_Male_Smokers",121029431,2809940820,430.718790013521
1994,"Total_Male_Smokers",122564645,2851196996,429.870840815097
1995,"Total_Male_Smokers",124078826,2892141549,429.020585257669
1996,"Total_Male_Smokers",125610369,2932815962,428.292707853177
1997,"Total_Male_Smokers",126177826,2973160990,424.38948453982
1998,"Total_Male_Smokers",126632020,3013295709,420.24425157405
1999,"Total_Male_Smokers",126894307,3053349419,415.590519088245
2000,"Total_Male_Smokers",126666983,3093433858,409.470474606799
2001,"Total_Male_Smokers",126504732,3133601761,403.703921712214
2002,"Total_Male_Smokers",126418020,3173900449,398.304931208005
2003,"Total_Male_Smokers",126608928,3214422031,393.877738451824
2004,"Total_Male_Smokers",127023073,3255262626,390.208372084815
2005,"Total_Male_Smokers",127273932,3296485267,386.089794709827
2006,"Total_Male_Smokers",127362882,3338132929,381.539275723672
2007,"Total_Male_Smokers",127274990,3380183020,376.532836378783
2008,"Total_Male_Smokers",127684778,3422546382,373.069532882082
2009,"Total_Male_Smokers",128598811,3465089423,371.126961822134
2010,"Total_Male_Smokers",130134273,3507703635,370.995632873642
2011,"Total_Male_Smokers",132197761,3550332593,372.353174067825
2012,"Total_Male_Smokers",134546759,3592963006,374.472987267935
