"Year","Gender","Total_Smokers","Population"
1980,"Total_Female_Smokers",24826645,2218314439
1981,"Total_Female_Smokers",25169144,2257323330
1982,"Total_Female_Smokers",25535915,2297056915
1983,"Total_Female_Smokers",25872003,2337676597
1984,"Total_Female_Smokers",26128936,2379366139
1985,"Total_Female_Smokers",26242496,2422197063
1986,"Total_Female_Smokers",26324990,2466288679
1987,"Total_Female_Smokers",26412315,2511446765
1988,"Total_Female_Smokers",26497121,2557038065	
1989,"Total_Female_Smokers",26574427,2602207942
1990,"Total_Female_Smokers",26640318,2646335779	
1991,"Total_Female_Smokers",26698415,2689176204
1992,"Total_Female_Smokers",26730444,2730869164
1993,"Total_Female_Smokers",26743593,2771656778	
1994,"Total_Female_Smokers",26668996,2811953432
1995,"Total_Female_Smokers",26653603,2852071381
1996,"Total_Female_Smokers",26740032,2892075969	
1997,"Total_Female_Smokers",26727675,2931884657	
1998,"Total_Female_Smokers",26785034,2971498366
1999,"Total_Female_Smokers",26837579,3010889613
2000,"Total_Female_Smokers",26828017,3050059948
2001,"Total_Female_Smokers",26773155,3089024770
2002,"Total_Female_Smokers",26751174,3127872723	
2003,"Total_Female_Smokers",26753598,3166763110
2004,"Total_Female_Smokers",26756053,3205896765
2005,"Total_Female_Smokers",26707686,3245421689	
2006,"Total_Female_Smokers",26571376,3285384988	
2007,"Total_Female_Smokers",26414352,3325763623	
2008,"Total_Female_Smokers",26310933,3366542290
2009,"Total_Female_Smokers",26299674,3407677565	
2010,"Total_Female_Smokers",26297664,3449119953
2011,"Total_Female_Smokers",26423397,3490861575
2012,"Total_Female_Smokers",26672197,3532864951
1980,"Total_Male_Smokers",95286282,2239689027	
1981,"Total_Male_Smokers",97433685,2279673266
1982,"Total_Male_Smokers",99707756,2320329587
1983,"Total_Male_Smokers",101994163,2361892578
1984,"Total_Male_Smokers",104200359,2404645371
1985,"Total_Male_Smokers",106177269,2448724603
1986,"Total_Male_Smokers",108116629,2494279319	
1987,"Total_Male_Smokers",110041951,2541075232
1988,"Total_Male_Smokers",111944388,2588387929
1989,"Total_Male_Smokers",113800719,2635233492	
1990,"Total_Male_Smokers",115629558,2680895262
1991,"Total_Male_Smokers",117460896,2725113179
1992,"Total_Male_Smokers",119275817,2768050729	
1993,"Total_Male_Smokers",121029431,2809940820
1994,"Total_Male_Smokers",122564645,2851196996
1995,"Total_Male_Smokers",124078826,2892141549
1996,"Total_Male_Smokers",125610369,2932815962		
1997,"Total_Male_Smokers",126177826,2973160990	
1998,"Total_Male_Smokers",126632020,3013295709
1999,"Total_Male_Smokers",126894307,3053349419
2000,"Total_Male_Smokers",126666983,3093433858	
2001,"Total_Male_Smokers",126504732,3133601761
2002,"Total_Male_Smokers",126418020,3173900449
2003,"Total_Male_Smokers",126608928,3214422031
2004,"Total_Male_Smokers",127023073,3255262626	
2005,"Total_Male_Smokers",127273932,3296485267	
2006,"Total_Male_Smokers",127362882,3338132929
2007,"Total_Male_Smokers",127274990,3380183020	
2008,"Total_Male_Smokers",127684778,3422546382
2009,"Total_Male_Smokers",128598811,3465089423	
2010,"Total_Male_Smokers",130134273,3507703635	
2011,"Total_Male_Smokers",132197761,3550332593
2012,"Total_Male_Smokers",134546759,3592963006
